filename,label,score,thought_density,thought_ratio,sim_pos,sim_neg,sim_gap,strong_score,support_score,non_thought_score,dominant_non_thought,strong_hits,support_hits,non_thought_hits,review_flag,reason,final_bucket,final_reason
2019-03-03.txt,높음,201.2857,568.1044,0.9099,0.4368,0.3622,0.0745,992.5,74.4,105.6,word_prayer,"생각(145), 생각을(27), 생각이(7), 생각하는(5), 의식(5), 절망(4), 생각의(3), 부정적(2)","생각하(27), 바라보(5), 생각해(4), 마음(1), 낙심하지(1)","말(32), 예수님(25), 말씀(19), 십자가(9), 믿음(7), 보혈(6), 성령(4), 기도(3)",,"핵심표현: 생각(145), 생각을(27), 생각이(7), 생각하는(5), 의식(5) | 보조표현: 생각하(27), 바라보(5), 생각해(4), 마음(1), 낙심하지(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
"2002-10-06 하나님의 생각과 우리의 생각, 하나님의 길과 우리의 길.txt",높음,178.4324,492.7432,0.905,0.5252,0.3616,0.1635,1774.5,79.2,194.5,word_prayer,"생각(236), 생각을(54), 생각이(36), 변화(10), 생각의(6), 생각하는(4), 절망(4), 부정적(3)","생각하(20), 마음(10), 두려워(4), 마음에(3), 담대(3), 생각해(2), 바라보(2)","말(82), 예수님(34), 말씀(29), 믿음(24), 기도(7), 구원(6), 성령(4), 십자가(4)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 생각(236), 생각을(54), 생각이(36), 변화(10), 생각의(6) | 보조표현: 생각하(20), 마음(10), 두려워(4), 마음에(3), 담대(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1981-06-21 나 나의생각.txt,높음,170.6275,470.2953,0.91,0.5736,0.4033,0.1704,1511.0,113.4,160.7,word_prayer,"생각(183), 생각을(52), 생각이(33), 생각하는(12), 변화(11), 생각의(6), 긍정(4), 변화를(3)","생각하(28), 마음(20), 마음속(6), 마음에(5), 바라보(2), 정신(1), 생각해(1), 결심(1)","말(62), 순종(17), 십자가(14), 구원(14), 예수님(14), 말씀(12), 성령(9), 기도(8)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 생각(183), 생각을(52), 생각이(33), 생각하는(12), 변화(11) | 보조표현: 생각하(28), 마음(20), 마음속(6), 마음에(5), 바라보(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2013-11-03.txt,높음,145.8217,410.9424,0.8425,0.3274,0.3044,0.0231,700.0,84.9,146.7,word_prayer,"생각(74), 생각을(17), 생각의(12), 변화(11), 긍정(9), 부정적(8), 생각이(6), 변화를(5)","생각하(20), 마음(10), 바라보(5), 마음속(3), 생각해(2), 깨닫(2), 정신(1), 지혜로운(1)","말(53), 성령(18), 예수님(15), 부활(11), 말씀(9), 기도(9), 십자가(9), 구원(9)",,"핵심표현: 생각(74), 생각을(17), 생각의(12), 변화(11), 긍정(9) | 보조표현: 생각하(20), 마음(10), 바라보(5), 마음속(3), 생각해(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2000-10-29 종의 사고방식과 자유인의 사고방식.txt,높음,143.3709,391.8819,0.917,0.4565,0.2573,0.1992,1062.0,106.2,105.8,word_prayer,"사고방식(76), 생각(50), 의식(16), 희망(12), 생각이(11), 부정적(9), 절망(8), 생각을(7)","마음(41), 생각하(14), 마음속(5), 마음에(4), 바라보(2), 태도(1)","말(47), 말씀(12), 십자가(10), 예수님(10), 성령(6), 꿈(5), 부활(5), 소망(4)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 사고방식(76), 생각(50), 의식(16), 희망(12), 생각이(11) | 보조표현: 마음(41), 생각하(14), 마음속(5), 마음에(4), 바라보(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1981-08-30 의식혁명.txt,높음,140.5119,385.1124,0.8708,0.4872,0.3527,0.1345,1170.5,63.4,183.1,word_prayer,"의식(129), 변화(54), 생각(26), 변화를(14), 절망(14), 생각이(8), 생각의(6), 부정적(5)","마음(24), 마음에(7), 생각하(4), 바라보(3), 두려워(2), 담대(1), 새 사람(1)","말(60), 십자가(32), 말씀(23), 성령(20), 예수님(14), 꿈(10), 기도(9), 신앙(6)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 의식(129), 변화(54), 생각(26), 변화를(14), 절망(14) | 보조표현: 마음(24), 마음에(7), 생각하(4), 바라보(3), 두려워(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2016-02-21.txt,높음,134.447,378.3047,0.8502,0.3709,0.3426,0.0283,654.0,95.8,132.1,word_prayer,"생각(71), 생각을(18), 생각이(9), 긍정(9), 부정적(7), 희망(7), 변화(6), 절망(5)","마음(20), 생각하(14), 마음속(7), 바라보(5), 마음에(4), 생각해(2), 두려워(2), 담대(1)","말(47), 꿈(25), 말씀(16), 믿음(13), 예수님(12), 십자가(9), 기도(5), 신앙(3)",,"핵심표현: 생각(71), 생각을(18), 생각이(9), 긍정(9), 부정적(7) | 보조표현: 마음(20), 생각하(14), 마음속(7), 바라보(5), 마음에(4)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2014-06-15.txt,높음,131.0448,368.6667,0.8663,0.1771,0.1595,0.0176,253.0,78.8,51.2,word_prayer,"두려움(14), 생각(11), 희망(10), 긍정(6), 부정적(5), 생각을(3), 변화(3), 생각하는(2)","마음(26), 바라보(10), 마음에(9), 생각하(3), 정신(2), 두려워(1), 담대(1)","말(18), 예수님(11), 꿈(6), 말씀(5), 십자가(5), 기도(2), 믿음(1), 성령(1)",,"핵심표현: 두려움(14), 생각(11), 희망(10), 긍정(6), 부정적(5) | 보조표현: 마음(26), 바라보(10), 마음에(9), 생각하(3), 정신(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1984-11-11 생각을 바꾸라.txt,높음,110.8878,299.4918,0.9025,0.5001,0.3201,0.18,1001.0,118.8,121.0,word_prayer,"생각(67), 희망(25), 부정적(23), 긍정(20), 생각을(17), 사고방식(15), 절망(14), 태도(9)","생각하(25), 마음(12), 태도(9), 바라보(6), 마음속(5), 정신(2), 생각해(2), 결심(1)","말(75), 예수님(15), 기도(8), 십자가(8), 말씀(7), 성령(6), 신앙(4), 믿음(3)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 생각(67), 희망(25), 부정적(23), 긍정(20), 생각을(17) | 보조표현: 생각하(25), 마음(12), 태도(9), 바라보(6), 마음속(5)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2014-05-25.txt,높음,104.3231,292.6131,0.8262,0.2734,0.2582,0.0152,478.0,104.3,122.5,word_prayer,"생각(41), 생각을(12), 부정적(11), 긍정(8), 절망(6), 생각이(5), 변화(4), 염려(4)","마음(38), 마음에(15), 바라보(7), 생각하(3), 정신(1), 생각해(1), 지혜로운(1), 깨닫(1)","말(71), 말씀(16), 기도(13), 예수님(8), 믿음(7), 입술(4), 구원(4), 꿈(3)",,"핵심표현: 생각(41), 생각을(12), 부정적(11), 긍정(8), 절망(6) | 보조표현: 마음(38), 마음에(15), 바라보(7), 생각하(3), 정신(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
